,pkSeqID,stime,flgs,flgs_number,proto,proto_number,saddr,sport,daddr,dport,pkts,bytes,state,state_number,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPSrcIP,TnBPDstIP,TnP_PSrcIP,TnP_PDstIP,TnP_PerProto,TnP_Per_Dport,AR_P_Proto_P_SrcIP,AR_P_Proto_P_DstIP,N_IN_Conn_P_DstIP,N_IN_Conn_P_SrcIP,AR_P_Proto_P_Sport,AR_P_Proto_P_Dport,Pkts_P_State_P_Protocol_P_DestIP,Pkts_P_State_P_Protocol_P_SrcIP,attack,category,subcategory
1926636,3576897,1526344330.5860698,0,1,3,3,2,36138,192.168.217.2,2,2,172,2,4,1526344333.08729,63,2.501218,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399805,0.399805,0.0,38872,688,647,8,843,16,0.771515,0.799726,4,63,0.79961,0.0275885,8,647,0,1,1
1926637,3576898,1526344232.03058,0,1,0,2,3,-1,192.168.100.1,0,6,360,0,2,1526345485.66326,13,1253.63269,0.000144,2.6e-05,0.000432,0.000115,0.000179,3,3,180,180,0.003988,0.0015949999999999998,0.0015949999999999998,11444,1590,188,20,32,32,0.00478609,0.0053768,4,26,0.00568806,0.00568806,16,6,0,1,1
1926638,3576899,1526344334.90028,0,1,3,3,3,34295,8.8.8.8,2,2,172,0,2,1526344334.90797,1110,0.007698,0.007698,0.0,0.007698,0.007698,0.007698,1,1,86,86,129.90386999999998,0.0,0.0,11444,344,188,4,843,16,0.552038,262.795,2,26,259.808,0.0275885,4,4,0,1,1
1926639,3576900,1526344332.65136,0,1,3,3,1,43735,192.168.217.2,2,2,172,2,4,1526344335.15237,106,2.501009,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399839,0.399839,0.0,172,688,2,8,843,16,0.7996770000000001,0.799726,4,1,0.7996770000000001,0.0275885,8,2,0,1,1
1926640,3576901,1526344335.74568,0,1,0,2,2,-1,192.168.100.1,0,6,360,0,2,1526345488.7703,2105,1153.024658,0.000129,5e-05,0.000387,6.2e-05,0.000183,3,3,180,180,0.004336,0.0017350000000000002,0.0017350000000000002,1802,1598,23,22,22,22,0.0052037,0.00693673,7,12,0.009538,0.009538,16,6,0,1,1
1926641,3576902,1526344337.0883,0,1,3,3,2,35430,8.8.8.8,2,2,172,0,2,1526344337.09553,2106,0.0072260000000000015,0.0072260000000000015,0.0,0.0072260000000000015,0.0072260000000000015,0.0072260000000000015,1,1,86,86,138.38914499999998,0.0,0.0,1802,1720,23,20,200009,68,3.3512699999999995,275.17900000000003,10,12,276.778,3.11157,20,8,0,1,1
1926642,3576903,1526344337.71485,0,1,0,2,1,-1,192.168.100.1,0,6,360,0,2,1526345491.25152,3081,1153.5366210000002,0.000144,1.9e-05,0.000431,0.000127,0.00017,3,3,180,180,0.004334,0.001734,0.001734,1802,1598,23,22,22,22,0.005201399999999999,0.00693673,7,12,0.009538,0.009538,16,6,0,1,1
1926643,3576904,1526344338.26157,0,1,3,3,4,8612,192.168.100.255,17,2,120,2,4,1526344338.27162,3082,0.01005,0.01005,0.0,0.01005,0.01005,0.01005,2,0,120,0,99.502487,99.502487,0.0,1649,740,21,6,200009,4,4.12964,0.00666635,3,14,199.293,199.263,6,15,0,1,1
1926644,3576905,1526344338.26158,0,1,3,3,4,8612,192.168.100.255,16,2,120,2,4,1526344338.27163,3083,0.010045,0.010045,0.0,0.010045,0.010045,0.010045,2,0,120,0,99.55201,99.55201,0.0,1649,740,21,6,200009,4,4.12964,0.00666635,3,14,199.293,199.322,6,15,0,1,1
1926645,3576906,1526344338.2616599,0,1,3,3,13,8612,ff02::1,17,2,156,2,4,1526344338.2716901,3084,0.010024,0.010024,0.0,0.010024,0.010024,0.010024,2,0,156,0,99.760574,99.760574,0.0,312,312,4,4,200009,4,199.531,199.531,2,2,199.293,199.263,4,4,0,1,1
1926646,3576907,1526344338.2616699,0,1,3,3,13,8612,ff02::1,16,2,156,2,4,1526344338.2717,3085,0.010023,0.010023,0.0,0.010023,0.010023,0.010023,2,0,156,0,99.770531,99.770531,0.0,312,312,4,4,200009,4,199.531,199.531,2,2,199.293,199.322,4,4,0,1,1
1926647,3576908,1526344339.15342,0,1,3,3,1,60865,8.8.8.8,2,2,172,0,2,1526344339.1610901,3089,0.007666,0.007666,0.0,0.007666,0.007666,0.007666,1,1,86,86,130.446121,0.0,0.0,1802,1720,23,20,200009,68,3.3796800000000005,275.17900000000003,10,12,260.892,3.11157,20,8,0,1,1
1926648,3576909,1526344339.3147302,0,1,3,3,4,56155,255.255.255.255,11,1,60,2,4,1526344339.3147302,4081,0.0,0.0,0.0,0.0,0.0,0.0,1,0,60,0,0.0,0.0,0.0,1649,139,21,2,200009,1,4.12964,0.0,2,14,0.0,0.0,2,15,0,1,1
1926649,3576910,1526344340.35211,0,1,3,3,4,56854,255.255.255.255,10,1,79,2,4,1526344340.35211,4094,0.0,0.0,0.0,0.0,0.0,0.0,1,0,79,0,0.0,0.0,0.0,1649,139,21,2,200009,1,4.12964,0.0,2,14,0.0,0.0,2,15,0,1,1
1926650,3576911,1526344349.73268,0,1,3,3,4,58610,192.168.217.2,2,2,172,2,4,1526344352.23358,4123,2.500902,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399856,0.399856,0.0,1649,1376,21,16,200009,68,4.12964,0.799779,8,14,0.799711,3.11157,16,15,0,1,1
1926651,3576912,1526344351.40307,0,1,3,3,3,35915,192.168.217.2,2,2,172,2,4,1526344353.9031801,4126,2.500109,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399983,0.399983,0.0,1090,1376,13,16,200009,68,2.5924,0.799779,8,9,0.7999649999999999,3.11157,16,9,0,1,1
1926652,3576913,1526344353.58606,0,1,3,3,2,33862,192.168.217.2,2,2,172,2,4,1526344356.08723,4134,2.501172,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399813,0.399813,0.0,1802,1376,23,16,200009,68,3.3512699999999995,0.799779,8,12,0.799625,3.11157,16,9,0,1,1
1926653,3576914,1526344356.2344801,0,1,3,3,4,52938,8.8.8.8,2,2,172,0,2,1526344356.24173,4139,0.00725,0.00725,0.0,0.00725,0.00725,0.00725,1,1,86,86,137.931046,0.0,0.0,1649,1720,21,20,200009,68,4.12964,275.17900000000003,10,14,275.862,3.11157,20,6,0,1,1
1926654,3576915,1526344357.90301,0,1,3,3,3,59519,8.8.8.8,2,2,172,0,2,1526344357.91018,4185,0.007168000000000002,0.007168000000000002,0.0,0.007168000000000002,0.007168000000000002,0.007168000000000002,1,1,86,86,139.508926,0.0,0.0,1090,1720,13,20,200009,68,2.5924,275.17900000000003,10,9,279.018,3.11157,20,4,0,1,1
1926655,3576916,1526344355.62341,0,1,3,3,1,57830,192.168.217.2,2,2,172,2,4,1526344358.1244,4137,2.500985,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399842,0.399842,0.0,1802,1376,23,16,200009,68,3.3796800000000005,0.799779,8,12,0.7996850000000001,3.11157,16,9,0,1,1
1926656,3576917,1526344360.0880196,0,1,3,3,2,52865,8.8.8.8,2,2,172,0,2,1526344360.09545,4241,0.00743,0.00743,0.0,0.00743,0.00743,0.00743,1,1,86,86,134.589493,0.0,0.0,1802,1720,23,20,200009,68,3.3512699999999995,275.17900000000003,10,12,269.17900000000003,3.11157,20,8,0,1,1
1926657,3576918,1526344362.12606,0,1,3,3,1,52216,8.8.8.8,2,2,172,0,2,1526344362.1335099,4308,0.00745,0.00745,0.0,0.00745,0.00745,0.00745,1,1,86,86,134.228195,0.0,0.0,1802,1720,23,20,200009,68,3.3796800000000005,275.17900000000003,10,12,268.456,3.11157,20,8,0,1,1
1926658,3576919,1526344031.66516,0,1,3,3,8,80,192.168.100.5,4,29726,28543568,2,4,1526345717.37204,3,1685.706909,4.947334,0.231518,1662.304321,0.710964,4.991788,29726,0,28543568,0,17.633553,17.633553,0.0,220390664,220390784,225519,225521,200009,244425,26.668000000000006,26.668000000000006,7,6,17.7787,26.668000000000006,56272,56272,0,1,1
1926659,3576920,1526344031.66516,0,1,2,1,8,80,192.168.100.5,4,30157,28898696,0,2,1526345717.37205,4,1685.706909,4.9473449999999985,0.231582,1662.307983,0.710952,4.991786,30157,0,28898696,0,17.889231,17.889231,0.0,220390664,220390784,225519,225521,228373,244425,17.9148,17.9148,7,6,19.814,11.943,56703,56703,0,1,1
1926660,3576921,1526344031.66517,0,1,2,1,11,80,192.168.100.3,4,10056,2976576,0,2,1526345717.78737,5,1686.1221920000007,4.832168,0.230037,1623.608521,0.655978,4.999866,10056,0,2976576,0,5.963387,5.963387,0.0,5596676,39702028,18908,84736,228373,244425,5.9722,8.4138,7,3,19.814,11.943,53659,18906,0,1,1
1926661,3576922,1526344031.66517,0,1,3,3,12,365,192.168.100.3,9,16326,979560,2,4,1526345717.6384802,6,1685.973267,4.893885,0.231947,1644.345215,0.655978,4.999755,16326,0,979560,0,9.682835,9.682835,0.0,1864620,39702028,31077,84736,200009,31077,9.81687,9.81687,7,2,9.81687,9.81687,31077,31077,0,1,1
1926662,3576923,1526344031.72296,0,1,2,1,9,0,192.168.100.3,1,18431,17131488,0,2,1526345717.53197,7,1685.80896,4.898582,0.235357,1645.92334,0.598172,4.999866,18431,0,17131488,0,10.932437,10.932437,0.0,32241905,39702028,34760,84736,228373,34657,10.8203,8.4138,7,7,10.9482,10.9482,53659,34753,0,1,1
1926663,3576924,1526344032.6370802,0,1,2,1,6,59552,13.55.154.73,18,3018,682915,0,2,1526345712.2260401,8,1679.588989,3.947982,1.272364,1314.677856,1.51683,4.999982,1509,1509,583321,99594,1.796273,0.8978389999999999,0.8978389999999999,116736097,1262062,118038,5396,228373,5396,17.9997,1.70849,2,20,1.70849,1.70849,5396,117939,0,1,1
1926664,3576925,1526344031.6651402,1,7,2,1,6,80,192.168.100.55,15,59453,60884536,0,2,1526345717.37205,1,1685.706909,4.947914,0.228494,1662.499146,0.768694,4.999863,29727,29726,28717341,32167195,35.268291,17.634145999999994,17.633553,116736097,115449031,118038,112543,228373,112543,17.9997,35.5576,2,20,19.814,35.5576,112543,117939,0,1,1
1926665,3576926,1526344031.66515,0,1,3,3,8,3456,192.168.100.5,4,59452,59114121,0,2,1526345717.37204,2,1685.706909,4.947584,0.231615,1662.388062,0.710969,4.999863,29726,29726,30347258,28766863,35.267696,17.633553,17.633553,220390664,220390784,225519,225521,200009,244425,26.668000000000006,26.668000000000006,7,6,35.5573,26.668000000000006,112544,112544,0,1,1
1926666,3576927,1526344599.15593,0,1,3,3,6,15726,184.85.248.65,2,2,333,0,2,1526344599.37182,6740,0.215891,0.215891,0.0,0.215891,0.215891,0.215891,1,1,98,235,4.631967,0.0,0.0,116736097,333,118038,2,200009,68,17.1051,9.26393,1,20,9.26393,3.11157,2,26,0,1,1
1926667,3576928,1526344599.44132,0,1,3,3,6,13392,205.251.194.167,2,2,366,0,2,1526344599.71981,6741,0.27849,0.27849,0.0,0.27849,0.27849,0.27849,1,1,98,268,3.590793,0.0,0.0,116736097,366,118038,2,200009,68,17.1051,7.181589999999999,1,20,7.181589999999999,3.11157,2,26,0,1,1
1926668,3576929,1526344599.77459,0,1,3,3,6,52067,192.5.5.241,2,2,1295,0,2,1526344599.80624,6748,0.031651,0.031651,0.0,0.031651,0.031651,0.031651,1,1,82,1213,31.594578,0.0,0.0,116736097,2504,118038,4,200009,68,17.1051,63.2721,2,20,63.1892,3.11157,4,26,0,1,1
1926669,3576930,1526344599.77464,0,1,3,3,6,14949,192.5.5.241,2,2,1209,0,2,1526344599.80621,6749,0.031568,0.031568,0.0,0.031568,0.031568,0.031568,1,1,70,1139,31.67765,0.0,0.0,116736097,2504,118038,4,200009,68,17.1051,63.2721,2,20,63.3553,3.11157,4,26,0,1,1
1926670,3576931,1526344599.83363,0,1,3,3,6,5167,192.35.51.30,2,2,885,0,2,1526344599.998,6750,0.164368,0.164368,0.0,0.164368,0.164368,0.164368,1,1,82,803,6.0839089999999985,0.0,0.0,116736097,885,118038,2,200009,68,17.1051,12.1678,1,20,12.1678,3.11157,2,26,0,1,1
1926671,3576932,1526344600.09149,0,1,3,3,6,5720,205.251.195.97,2,2,323,0,2,1526344600.3831198,6753,0.291631,0.291631,0.0,0.291631,0.291631,0.291631,1,1,93,230,3.4289910000000003,0.0,0.0,116736097,323,118038,2,200009,68,17.1051,6.85798,1,20,6.85798,3.11157,2,26,0,1,1
1926672,3576933,1526344600.3844302,0,1,3,3,6,56746,205.251.196.236,2,2,419,0,2,1526344600.39372,6756,0.009295,0.009295,0.0,0.009295,0.009295,0.009295,1,1,93,326,107.584724,0.0,0.0,116736097,419,118038,2,200009,68,17.1051,215.169,1,20,215.169,3.11157,2,26,0,1,1
1926673,3576934,1526344600.50033,0,1,3,3,6,34560,199.7.91.13,2,2,1290,0,2,1526344600.5164099,6761,0.016084,0.016084,0.0,0.016084,0.016084,0.016084,1,1,81,1209,62.173588,0.0,0.0,116736097,1290,118038,2,200009,68,17.1051,124.347,1,20,124.347,3.11157,2,26,0,1,1
1926674,3576935,1526344600.5168,0,1,3,3,6,49393,192.12.94.30,2,2,883,0,2,1526344600.68104,6762,0.16424,0.16424,0.0,0.16424,0.16424,0.16424,1,1,81,802,6.0886510000000005,0.0,0.0,116736097,883,118038,2,200009,68,17.1051,12.1773,1,20,12.1773,3.11157,2,26,0,1,1
1926675,3576936,1526344600.7782,0,1,2,1,6,56312,52.35.35.13,8,32,6689,1,6,1526344662.51898,6765,61.740784,0.292655,0.331883,2.048587,0.15452,1.105515,18,14,2361,4328,0.502099,0.275345,0.210558,116736097,6689,118038,32,228373,72,17.9997,0.518296,1,20,0.518296,0.309227,32,72,0,1,1
1926676,3576937,1526344717.55236,0,1,3,3,11,138,192.168.100.255,7,2,500,2,4,1526345617.57519,7836,900.022827,0.0,0.0,0.0,0.0,0.0,2,0,500,0,0.001111,0.001111,0.0,5596676,740,18908,6,200009,2,0.00222217,0.00666635,3,3,0.00222217,0.00222217,6,2,0,1,1
1926677,3576938,1526344814.71395,0,1,3,3,6,18879,216.239.38.10,2,2,201,0,2,1526344814.89429,8728,0.180337,0.180337,0.0,0.180337,0.180337,0.180337,1,1,98,103,5.5451739999999985,0.0,0.0,116736097,201,118038,2,200009,68,17.1051,11.0903,1,20,11.0903,3.11157,2,26,0,1,1
1926678,3576939,1526344814.89495,0,1,3,3,6,65040,199.7.83.42,2,2,1301,0,2,1526344814.91045,8729,0.015493,0.015493,0.0,0.015493,0.015493,0.015493,1,1,85,1216,64.54528,0.0,0.0,116736097,2702,118038,4,200009,68,17.1051,130.621,2,20,129.091,3.11157,4,26,0,1,1
1926679,3576940,1526344814.92661,0,1,3,3,6,36332,199.7.83.42,2,2,1401,0,2,1526344814.94174,8730,0.01513,0.01513,0.0,0.01513,0.01513,0.01513,1,1,70,1331,66.093849,0.0,0.0,116736097,2702,118038,4,200009,68,17.1051,130.621,2,20,132.188,3.11157,4,26,0,1,1
1926680,3576941,1526344814.92705,0,1,3,3,6,3144,192.42.93.30,2,2,891,0,2,1526344815.09134,8731,0.164297,0.164297,0.0,0.164297,0.164297,0.164297,1,1,85,806,6.086538,0.0,0.0,116736097,891,118038,2,200009,68,17.1051,12.1731,1,20,12.1731,3.11157,2,26,0,1,1
1926681,3576942,1526344815.11129,0,1,2,1,6,58240,172.217.25.170,8,40,7431,1,6,1526344986.20911,8735,171.097824,0.103549,0.13648,0.414195,0.006026,0.338744,21,19,2996,4435,0.22794,0.116892,0.105203,116736097,7431,118038,40,228373,72,17.9997,0.233784,1,20,0.233784,0.309227,40,72,0,1,1
1926682,3576943,1526344875.39601,0,1,3,3,14,5353,ff02::fb,13,1,107,2,4,1526344875.39601,9298,0.0,0.0,0.0,0.0,0.0,0.0,1,0,107,0,0.0,0.0,0.0,107,524,1,4,200009,28,0.0,0.0,4,1,0.0,0.0,4,1,0,1,1
1926683,3576944,1526344875.3965304,0,1,3,3,6,5353,224.0.0.251,13,1,87,2,4,1526344875.3965304,9299,0.0,0.0,0.0,0.0,0.0,0.0,1,0,87,0,0.0,0.0,0.0,116736097,2052,118038,24,200009,28,17.1051,0.0,24,20,0.0,0.0,24,1,0,1,1
1926684,3576945,1526344912.6239998,0,1,3,3,18,5353,ff02::fb,13,1,107,2,4,1526344912.6239998,9639,0.0,0.0,0.0,0.0,0.0,0.0,1,0,107,0,0.0,0.0,0.0,107,524,1,4,200009,28,0.0,0.0,4,1,0.0,0.0,4,1,0,1,1
1926685,3576946,1526344912.62413,0,1,3,3,9,5353,224.0.0.251,13,1,87,2,4,1526344912.62413,9640,0.0,0.0,0.0,0.0,0.0,0.0,1,0,87,0,0.0,0.0,0.0,32241905,2052,34760,24,200009,28,94.0539,0.0,24,7,0.0,0.0,24,1,0,1,1
1926686,3576947,1526345116.98065,0,1,3,3,7,5353,224.0.0.251,13,1,87,2,4,1526345116.98065,11519,0.0,0.0,0.0,0.0,0.0,0.0,1,0,87,0,0.0,0.0,0.0,369,2052,5,24,200009,28,13.4199,0.0,24,3,0.0,0.0,24,1,0,1,1
1926687,3576948,1526345116.9807699,0,1,3,3,20,5353,ff02::fb,13,1,107,2,4,1526345116.9807699,11520,0.0,0.0,0.0,0.0,0.0,0.0,1,0,107,0,0.0,0.0,0.0,107,524,1,4,200009,28,0.0,0.0,4,1,0.0,0.0,4,1,0,1,1
1926688,3576949,1526345185.66244,0,1,3,3,2,53571,27.124.125.250,5,2,180,0,2,1526345185.71115,12151,0.048705,0.048705,0.0,0.048705,0.048705,0.048705,1,1,90,90,20.531773,0.0,0.0,1802,360,23,4,200009,8,3.3512699999999995,41.0889,2,12,41.0635,24.4,4,8,0,1,1
1926689,3576950,1526345186.83575,0,1,3,3,4,37024,27.124.125.250,5,2,180,0,2,1526345186.8844,12162,0.048645,0.048645,0.0,0.048645,0.048645,0.048645,1,1,90,90,20.557096,0.0,0.0,1649,360,21,4,200009,8,4.12964,41.0889,2,14,41.1142,24.4,4,6,0,1,1
1926690,3576951,1526345227.56614,0,1,1,5,15,133,ff02::2,1,1,70,3,8,1526345227.56614,12539,0.0,0.0,0.0,0.0,0.0,0.0,1,0,70,0,0.0,0.0,0.0,70,70,1,1,1,34657,0.0,0.0,1,1,0.0,0.0,1,1,0,1,1
1926691,3576952,1526345259.3717802,0,1,3,3,1,38810,129.250.35.250,5,2,180,0,2,1526345259.37875,12832,0.0069700000000000005,0.0069700000000000005,0.0,0.0069700000000000005,0.0069700000000000005,0.0069700000000000005,1,1,90,90,143.47203100000004,0.0,0.0,1802,180,23,2,200009,8,3.3796800000000005,286.944,1,12,286.944,24.4,2,8,0,1,1
1926692,3576953,1526345283.96583,0,1,3,3,7,45057,91.189.91.157,5,2,180,0,2,1526345284.1893802,13060,0.223549,0.223549,0.0,0.223549,0.223549,0.223549,1,1,90,90,4.473292,0.0,0.0,369,180,5,2,200009,8,13.4199,8.94658,1,3,8.94658,24.4,2,2,0,1,1
1926693,3576954,1526345284.1891801,0,1,0,2,0,-1,192.168.100.4,0,2,102,0,2,1526345284.1891901,13062,1.1e-05,1.1e-05,0.0,1.1e-05,1.1e-05,1.1e-05,1,1,60,42,90909.09375,0.0,0.0,342,102,6,2,22,22,10791.4,181818.0,1,3,0.009538,0.009538,2,6,0,1,1
1926694,3576955,1526345289.17636,0,1,0,2,7,-1,192.168.100.1,0,2,102,0,2,1526345289.17661,13109,0.000251,0.000251,0.0,0.000251,0.000251,0.000251,1,1,42,60,3984.063965,0.0,0.0,369,1598,5,22,22,22,7968.13,0.00693673,7,3,0.009538,0.009538,16,2,0,1,1
1926695,3576956,1526345444.64663,0,1,3,3,4,50232,224.0.0.251,13,1,88,2,4,1526345444.64663,14518,0.0,0.0,0.0,0.0,0.0,0.0,1,0,88,0,0.0,0.0,0.0,1649,2052,21,24,200009,28,4.12964,0.0,24,14,0.0,0.0,24,15,0,1,1
1926696,3576957,1526345446.3022802,0,1,3,3,3,40285,224.0.0.251,13,1,88,2,4,1526345446.3022802,14527,0.0,0.0,0.0,0.0,0.0,0.0,1,0,88,0,0.0,0.0,0.0,1090,2052,13,24,200009,28,2.5924,0.0,24,9,0.0,0.0,24,9,0,1,1
1926697,3576958,1526345449.4077,0,1,3,3,2,59441,224.0.0.251,13,1,88,2,4,1526345449.4077,14533,0.0,0.0,0.0,0.0,0.0,0.0,1,0,88,0,0.0,0.0,0.0,1802,2052,23,24,200009,28,3.3512699999999995,0.0,24,12,0.0,0.0,24,9,0,1,1
1926698,3576959,1526345449.65222,0,1,3,3,4,33816,224.0.0.251,13,1,83,2,4,1526345449.65222,14536,0.0,0.0,0.0,0.0,0.0,0.0,1,0,83,0,0.0,0.0,0.0,1649,2052,21,24,200009,28,4.12964,0.0,24,14,0.0,0.0,24,15,0,1,1
1926699,3576960,1526345451.30758,0,1,3,3,3,57131,224.0.0.251,13,1,83,2,4,1526345451.30758,14541,0.0,0.0,0.0,0.0,0.0,0.0,1,0,83,0,0.0,0.0,0.0,1090,2052,13,24,200009,28,2.5924,0.0,24,9,0.0,0.0,24,9,0,1,1
1926700,3576961,1526345451.65593,0,1,3,3,4,33956,224.0.0.251,13,1,60,2,4,1526345451.65593,14545,0.0,0.0,0.0,0.0,0.0,0.0,1,0,60,0,0.0,0.0,0.0,1649,2052,21,24,200009,28,4.12964,0.0,24,14,0.0,0.0,24,15,0,1,1
1926701,3576962,1526345451.88118,0,1,3,3,1,35795,224.0.0.251,13,1,88,2,4,1526345451.88118,14546,0.0,0.0,0.0,0.0,0.0,0.0,1,0,88,0,0.0,0.0,0.0,1802,2052,23,24,200009,28,3.3796800000000005,0.0,24,12,0.0,0.0,24,9,0,1,1
1926702,3576963,1526345453.3113,0,1,3,3,3,50421,224.0.0.251,13,1,60,2,4,1526345453.3113,14550,0.0,0.0,0.0,0.0,0.0,0.0,1,0,60,0,0.0,0.0,0.0,1090,2052,13,24,200009,28,2.5924,0.0,24,9,0.0,0.0,24,9,0,1,1
1926703,3576964,1526345454.41296,0,1,3,3,2,51781,224.0.0.251,13,1,83,2,4,1526345454.41296,14551,0.0,0.0,0.0,0.0,0.0,0.0,1,0,83,0,0.0,0.0,0.0,1802,2052,23,24,200009,28,3.3512699999999995,0.0,24,12,0.0,0.0,24,9,0,1,1
1926704,3576965,1526345456.41674,0,1,3,3,2,39502,224.0.0.251,13,1,60,2,4,1526345456.41674,14556,0.0,0.0,0.0,0.0,0.0,0.0,1,0,60,0,0.0,0.0,0.0,1802,2052,23,24,200009,28,3.3512699999999995,0.0,24,12,0.0,0.0,24,9,0,1,1
1926705,3576966,1526345456.8888,0,1,3,3,1,54674,224.0.0.251,13,1,83,2,4,1526345456.8888,14557,0.0,0.0,0.0,0.0,0.0,0.0,1,0,83,0,0.0,0.0,0.0,1802,2052,23,24,200009,28,3.3796800000000005,0.0,24,12,0.0,0.0,24,9,0,1,1
1926706,3576967,1526345458.8924,0,1,3,3,1,44248,224.0.0.251,13,1,60,2,4,1526345458.8924,14561,0.0,0.0,0.0,0.0,0.0,0.0,1,0,60,0,0.0,0.0,0.0,1802,2052,23,24,200009,28,3.3796800000000005,0.0,24,12,0.0,0.0,24,9,0,1,1
